city,day,e,pct
WC,17,ele = 300 Wh,0
WC,18,ele = 300 Wh,0.001362398
WC,19,ele = 300 Wh,0
WC,20,ele = 300 Wh,0
WC,21,ele = 300 Wh,0.000685871
WC,22,ele = 300 Wh,0.001328021
WC,23,ele = 300 Wh,0.001632653
WC,24,ele = 300 Wh,0
WC,25,ele = 300 Wh,0
WC,26,ele = 300 Wh,0
WC,27,ele = 300 Wh,0
WC,28,ele = 300 Wh,0
WC,1,ele = 450 Wh,1
WC,2,ele = 450 Wh,0.52140884
WC,3,ele = 450 Wh,0.02175884
WC,4,ele = 450 Wh,0.009208103
WC,5,ele = 450 Wh,0.002879079
WC,6,ele = 450 Wh,0
WC,7,ele = 450 Wh,0.001656543
WC,8,ele = 450 Wh,0.002748763
WC,9,ele = 450 Wh,0.001243008
WC,10,ele = 450 Wh,0.002555911
WC,11,ele = 450 Wh,0.000975134
WC,12,ele = 450 Wh,0.001083424
WC,13,ele = 450 Wh,0.002075765
WC,14,ele = 450 Wh,0.002427184
WC,15,ele = 450 Wh,0.001838235
WC,16,ele = 450 Wh,0
WC,17,ele = 450 Wh,0.00066313
WC,18,ele = 450 Wh,0.000681199
WC,19,ele = 450 Wh,0
WC,20,ele = 450 Wh,0
WC,21,ele = 450 Wh,0
WC,22,ele = 450 Wh,0.001992032
WC,23,ele = 450 Wh,0
WC,24,ele = 450 Wh,0
WC,25,ele = 450 Wh,0
WC,26,ele = 450 Wh,0
WC,27,ele = 450 Wh,0
WC,28,ele = 450 Wh,0
WC,1,ele = 600 Wh,1
WC,2,ele = 600 Wh,0.997928177
WC,3,ele = 600 Wh,0.205802357
WC,4,ele = 600 Wh,0.042357274
WC,5,ele = 600 Wh,0.011516315
WC,6,ele = 600 Wh,0
WC,7,ele = 600 Wh,0.001656543
WC,8,ele = 600 Wh,0.001649258
WC,9,ele = 600 Wh,0.000621504
WC,10,ele = 600 Wh,0.001277955
WC,11,ele = 600 Wh,0.000487567
WC,12,ele = 600 Wh,0.001083424
WC,13,ele = 600 Wh,0.001556824
WC,14,ele = 600 Wh,0.001213592
WC,15,ele = 600 Wh,0.000612745
WC,16,ele = 600 Wh,0
WC,17,ele = 600 Wh,0
WC,18,ele = 600 Wh,0.000681199
WC,19,ele = 600 Wh,0
WC,20,ele = 600 Wh,0
WC,21,ele = 600 Wh,0.000685871
WC,22,ele = 600 Wh,0.001328021
WC,23,ele = 600 Wh,0
WC,24,ele = 600 Wh,0
WC,25,ele = 600 Wh,0
WC,26,ele = 600 Wh,0
WC,27,ele = 600 Wh,0
WC,28,ele = 600 Wh,0
WC,1,ele = 750 Wh,1
WC,2,ele = 750 Wh,0.997928177
WC,3,ele = 750 Wh,0.953762466
WC,4,ele = 750 Wh,0.048802947
WC,5,ele = 750 Wh,0.017274472
WC,6,ele = 750 Wh,0.002279635
WC,7,ele = 750 Wh,0.007730536
WC,8,ele = 750 Wh,0.005497526
WC,9,ele = 750 Wh,0.002486016
WC,10,ele = 750 Wh,0.003194888
WC,11,ele = 750 Wh,0.002437835
WC,12,ele = 750 Wh,0.001083424
WC,13,ele = 750 Wh,0.002594707
WC,14,ele = 750 Wh,0.003033981
WC,15,ele = 750 Wh,0.001838235
WC,16,ele = 750 Wh,0
WC,17,ele = 750 Wh,0.00132626
WC,18,ele = 750 Wh,0.001362398
WC,19,ele = 750 Wh,0
WC,20,ele = 750 Wh,0
WC,21,ele = 750 Wh,0.000685871
WC,22,ele = 750 Wh,0.001328021
WC,23,ele = 750 Wh,0.001632653
WC,24,ele = 750 Wh,0
WC,25,ele = 750 Wh,0
WC,26,ele = 750 Wh,0
WC,27,ele = 750 Wh,0
WC,28,ele = 750 Wh,0
WC,1,ele = 900 Wh,1
WC,2,ele = 900 Wh,0.997928177
WC,3,ele = 900 Wh,0.993653672
WC,4,ele = 900 Wh,0.598526703
WC,5,ele = 900 Wh,0.019193858
WC,6,ele = 900 Wh,0.002279635
WC,7,ele = 900 Wh,0.006626173
WC,8,ele = 900 Wh,0.004947774
WC,9,ele = 900 Wh,0.002486016
WC,10,ele = 900 Wh,0.001916933
WC,11,ele = 900 Wh,0.001462701
WC,12,ele = 900 Wh,0.001083424
WC,13,ele = 900 Wh,0.000518941
WC,14,ele = 900 Wh,0.001213592
WC,15,ele = 900 Wh,0
WC,16,ele = 900 Wh,0
WC,17,ele = 900 Wh,0
WC,18,ele = 900 Wh,0.001362398
WC,19,ele = 900 Wh,0
WC,20,ele = 900 Wh,0
WC,21,ele = 900 Wh,0.000685871
WC,22,ele = 900 Wh,0.000664011
WC,23,ele = 900 Wh,0.001632653
WC,24,ele = 900 Wh,0
WC,25,ele = 900 Wh,0
WC,26,ele = 900 Wh,0
WC,27,ele = 900 Wh,0
WC,28,ele = 900 Wh,0
