source,target,cost
50,2259,10.608547721679701
50,2192,82.052293184069100
51,1558,128.913656626512989
51,1217,11.933003537582200
52,1016,16.149620529655898
53,497,0.761906034800052
54,2406,82.517014566940802
54,3275,3.982552634770910
54,3580,57.217963599393698
55,2468,64.577497265575403
55,2840,11.151114633038000
56,320,3.334278322266170
58,1037,10.408619523633300
58,1587,61.973548440689697
59,3544,25.536534628075099
60,2074,16.388900291438301
61,912,9.974032245504841
63,1956,59.831895246068100
63,3409,16.821331134623801
63,1303,25.535056964882799
64,2679,55.743968156202300
64,1563,84.244111748758101
64,3417,62.966874636225597
65,3103,13.414905902119701
65,236,6.121237575501890
65,2027,9.697049716741430
65,2371,4.624649070944810
66,2946,37.213376529063503
66,1855,76.379562908818500
69,1143,22.701363927844799
71,2723,10.868120523746001
71,1895,9.862844855472661
71,1745,14.420100834561399
72,1527,357.929546155093021
72,2470,12.604531341043700
72,877,22.206094999165899
73,2448,41.316476487933500
73,1458,49.183406000233802
73,1435,7.084844489680210
74,31,17.182144518185101
74,794,25.111876965806601
75,2858,26.936806933238302
75,1709,29.935176333602101
75,1375,37.100259725375601
77,1045,44.710860304841297
77,513,98.763064636385195
77,707,24.152895680684399
78,2761,86.614229761796395
81,47,72.746468487301399
82,248,34.579426969189598
82,2297,18.906445706266901
83,1216,49.357986018807999
83,1647,52.619674083302499
84,235,9.969718155764820
84,1127,94.582853007078199
85,3368,6.618035817160110
85,1109,44.793764193627602
85,495,12.318912245970701
87,3416,82.935097377580007
87,2606,111.490806549232005
87,3035,69.007685793907598
88,1638,162.635624918291001
89,592,87.685044725248403
90,3683,70.963915913370798
90,2231,77.201492205468895
90,184,92.229612423652100
91,2387,25.466164017034401
91,651,13.890995475311399
93,936,10.164222909902900
94,3340,28.260882920412701
95,2273,91.090191828550601
96,830,30.488314954628901
96,2601,80.055545447170601
96,2658,7.467749891007360
99,371,119.929397022379007
102,1852,39.944365153698598
102,1656,28.112528754475399
103,931,10.295505146548900
106,934,69.993912928296098
106,3616,54.718022720253103
107,821,19.248181771525999
107,1385,12.935512808037901
107,3614,7.654784705602220
109,3332,54.491265269778900
110,1036,41.612255255469499
111,1502,37.351508272845003
111,2948,17.015708155187699
111,818,35.419538468561598
112,74,11.519262629993101
112,3431,14.140369402138900
112,2832,15.654967617826101
112,2122,24.802257529924400
113,159,28.596057230364401
113,2191,30.310136617181598
115,2905,11.151207404097899
115,584,157.883050858112000
115,2514,17.426724733046299
116,549,47.526713980792302
116,2534,23.081192843805599
116,41,31.699201930288101
117,3125,43.792371233645497
117,2888,7.553985418883950
119,1772,10.162654210568000
120,1344,77.850140291410895
122,672,54.073989498220200
123,762,40.999666202760203
123,2776,22.205423055455899
125,1338,27.268051674152701
126,725,115.956306010297993
127,155,41.208867627275900
127,3547,167.414027797551995
129,3482,12.902244692269800
130,2593,16.428915780302098
130,2131,23.902942172172100
130,3312,9.574673722388090
130,3290,12.655123881140099
131,131,55.663934954843903
131,1403,69.747883587144599
133,1258,13.615262115854700
134,321,49.408187839488200
134,3125,95.433048784829595
136,2004,26.820497951842398
136,3540,3.916459526936880
137,1555,56.410905283688798
139,965,14.226552096061500
140,273,68.308556589890998
140,2730,35.971801502779002
141,2356,10.859931503512801
141,1007,12.429012714496301
141,1751,16.942102772391500
144,3661,97.595806064397905
144,2520,13.870295917084899
145,3067,5.560156512930000
145,943,3.728317884655470
146,851,54.549081248595499
146,505,86.226391737921105
147,1550,20.084087901898201
147,1950,12.947209389477100
148,271,117.513730785841005
148,1112,116.449750089825997
148,1539,46.514982664553600
150,2046,108.331286968778997
151,159,27.069401814706801
151,1682,25.859761133242198
152,3610,3.552848916224950
153,2700,22.371710145169999
153,169,15.918009817328601
153,887,14.056689351537401
154,1400,10.904604709011799
157,1195,56.504182259607603
158,1820,13.696670720940300
159,3057,145.804542023962000
160,640,17.079059760129301
161,808,17.645413496954301
163,2337,24.823400132744698
164,278,91.393785714799193
166,2355,31.291320631295001
166,1577,501.685884677450019
166,1577,126.892729072771004
167,56,19.208116750794201
168,1083,12.104417300692401
170,3419,54.387471879535298
170,2194,11.832388371143001
171,3076,9.188478851999880
171,169,23.468190292590801
171,2270,29.170697657140501
175,1556,15.065655019465400
175,2629,25.811011136034100
175,2629,11.002960410975099
176,3578,17.318898567044599
177,1209,45.162440577813200
178,1546,7.703888156781680
179,604,79.201456558488701
180,3031,11.293175484015800
180,2745,5.304351744077230
181,27,51.684183951179897
182,684,31.874497262134899
183,3294,34.173973402726403
184,2862,99.988301696470700
185,98,41.841428132298503
185,3323,78.634906488892796
185,3701,98.701207612508597
214,3394,8.493119194083221
187,593,145.742998922035014
188,2795,129.975113185925011
189,2868,44.696227116749199
189,1809,17.728194791653198
190,1565,26.926550755543499
190,2635,14.902018809124799
191,613,12.964493472479701
191,771,10.102505354528899
192,351,178.503946936301986
192,3503,15.112202147517699
192,2756,11.575904548782500
193,1490,10.996891771305000
193,1983,19.826526418056702
193,1295,19.226853068307300
193,3273,176.864750884323001
194,1861,82.613392858273698
195,2694,12.463147025660399
196,1662,44.626514873556403
197,1772,12.099291522303000
198,2312,29.077171245605200
